run_family,mode,schedule,seed,cycles,n_f,failed,first_failure_cycle,mean_checkpoint_accuracy,final_config_accuracy,final_requirement_accuracy,unsafe_attempts,retry_count,repair_successes,total_tokens,subcritical_first_failure
primary,prose_summary,high_to_low,1414,20,2,1,2,0.5625,0.83333333,0.83333333,14,4,4,5284,0
primary,receipt_ancestry,high_to_low,1414,20,5,1,5,0.72916667,0.83333333,0.83333333,9,4,3,5695,1
primary,fresh_ground_truth,alternating,1414,20,21,0,,1.0,1.0,1.0,0,0,0,5800,0
primary,persistent_history,alternating,1414,20,5,1,5,0.45833333,0.16666667,0.0,15,4,3,5320,1
primary,prose_summary,alternating,1414,20,5,1,5,0.52083333,0.41666667,0.5,13,4,4,5284,0
primary,receipt_ancestry,alternating,1414,20,3,1,3,0.64583333,0.41666667,0.5,8,4,3,5685,1
primary,fresh_ground_truth,randomized,1414,20,21,0,,1.0,1.0,1.0,0,0,0,5800,0
primary,persistent_history,randomized,1414,20,7,1,7,0.47916667,0.08333333,0.0,13,3,2,5278,1
primary,prose_summary,randomized,1414,20,1,1,1,0.4375,0.41666667,0.16666667,14,4,4,5284,1
primary,receipt_ancestry,randomized,1414,20,1,1,1,0.66666667,0.75,1.0,12,4,3,5654,1
primary,fresh_ground_truth,low_to_high,1515,20,21,0,,1.0,1.0,1.0,0,0,0,5800,0
primary,persistent_history,low_to_high,1515,20,10,1,10,0.5,0.16666667,0.0,11,3,1,5205,1
primary,prose_summary,low_to_high,1515,20,4,1,4,0.625,0.58333333,0.5,9,4,3,5284,1
primary,receipt_ancestry,low_to_high,1515,20,2,1,2,0.6875,0.5,0.5,14,4,4,5644,1
primary,fresh_ground_truth,high_to_low,1515,20,21,0,,1.0,1.0,1.0,0,0,0,5800,0
primary,persistent_history,high_to_low,1515,20,1,1,1,0.5625,0.33333333,0.16666667,19,4,1,5404,1
primary,prose_summary,high_to_low,1515,20,4,1,4,0.58333333,0.41666667,0.16666667,9,4,3,5284,0
primary,receipt_ancestry,high_to_low,1515,20,4,1,4,0.72916667,0.66666667,1.0,9,4,4,5681,1
primary,fresh_ground_truth,alternating,1515,20,21,0,,1.0,1.0,1.0,0,0,0,5800,0
primary,persistent_history,alternating,1515,20,1,1,1,0.625,0.41666667,0.16666667,17,4,1,5320,1
primary,prose_summary,alternating,1515,20,3,1,3,0.60416667,0.5,0.66666667,16,4,3,5284,1
primary,receipt_ancestry,alternating,1515,20,3,1,3,0.70833333,0.66666667,0.66666667,6,3,3,5671,1
primary,fresh_ground_truth,randomized,1515,20,21,0,,1.0,1.0,1.0,0,0,0,5800,0
primary,persistent_history,randomized,1515,20,4,1,4,0.45833333,0.33333333,0.16666667,17,4,1,5368,1
primary,prose_summary,randomized,1515,20,5,1,5,0.60416667,0.41666667,0.16666667,16,4,3,5284,1
primary,receipt_ancestry,randomized,1515,20,11,1,11,0.77083333,0.33333333,0.5,6,2,2,5678,1
primary,fresh_ground_truth,low_to_high,1616,20,14,1,14,1.0,1.0,1.0,1,0,0,5830,1
primary,persistent_history,low_to_high,1616,20,12,1,12,0.75,0.25,0.16666667,7,2,1,5245,1
primary,prose_summary,low_to_high,1616,20,5,1,5,0.54166667,0.33333333,0.66666667,8,4,3,5314,1
primary,receipt_ancestry,low_to_high,1616,20,10,1,10,0.66666667,0.5,0.66666667,9,3,2,5695,1
primary,fresh_ground_truth,high_to_low,1616,20,1,1,1,1.0,1.0,1.0,1,0,0,5830,1
primary,persistent_history,high_to_low,1616,20,6,1,6,0.5,0.25,0.16666667,15,3,2,5424,1
primary,prose_summary,high_to_low,1616,20,5,1,5,0.66666667,0.91666667,0.83333333,14,4,3,5314,0
primary,receipt_ancestry,high_to_low,1616,20,6,1,6,0.60416667,0.75,0.83333333,10,3,2,5725,1
primary,fresh_ground_truth,alternating,1616,20,1,1,1,1.0,1.0,1.0,1,0,0,5830,1
primary,persistent_history,alternating,1616,20,10,1,10,0.58333333,0.25,0.16666667,5,3,2,5370,1
primary,prose_summary,alternating,1616,20,5,1,5,0.47916667,0.41666667,0.66666667,15,4,3,5314,0
primary,receipt_ancestry,alternating,1616,20,15,1,15,0.85416667,0.58333333,0.83333333,4,2,2,5715,1
primary,fresh_ground_truth,randomized,1616,20,3,1,3,1.0,1.0,1.0,1,0,0,5830,1
primary,persistent_history,randomized,1616,20,8,1,8,0.5,0.25,0.16666667,13,3,2,5455,1
primary,prose_summary,randomized,1616,20,2,1,2,0.54166667,0.58333333,0.5,10,4,3,5314,1
